"trip","Lake","model","freq","TS","weight","n","total","proportion"
"2013-10","Eleanor","Copepods",120,-143.92093694678425,5.758884732379777e-6,150.0,476.0,0.31512605042016806
"2013-10","Eleanor","Copepods",710,-113.57124537005353,5.758884732379777e-6,150.0,476.0,0.31512605042016806
"2014-04","Eleanor","Copepods",120,-154.10152958032847,3.044588678955463e-6,35.0,91.0,0.38461538461538464
"2014-04","Eleanor","Copepods",710,-123.41725916363883,3.044588678955463e-6,35.0,91.0,0.38461538461538464
"2014-06","Eleanor","Copepods",120,-159.49591481976628,2.0557516408134098e-6,20.0,190.0,0.10526315789473684
"2014-06","Eleanor","Copepods",710,-128.7428029354934,2.0557516408134098e-6,20.0,190.0,0.10526315789473684
"2014-09","Eleanor","Copepods",120,-141.2358103648043,1.0265465711562002e-5,177.0,807.0,0.21933085501858737
"2014-09","Eleanor","Copepods",710,-110.77209995604636,1.0265465711562002e-5,177.0,807.0,0.21933085501858737
"2013-10","Independence","Copepods",120,-147.8257273875975,5.169055968964651e-6,380.0,793.0,0.4791929382093317
"2013-10","Independence","Copepods",710,-117.26206247800741,5.169055968964651e-6,380.0,793.0,0.4791929382093317
"2013-10","Tahoe","Copepods",120,-134.0881088282222,1.2997063269868189e-5,274.0,319.0,0.8589341692789969
"2013-10","Tahoe","Copepods",710,-104.34939622200972,1.2997063269868189e-5,274.0,319.0,0.8589341692789969
"2014-09","Tahoe","Copepods",120,-150.89021507078934,3.597709368093409e-6,429.0,687.0,0.6244541484716157
"2014-09","Tahoe","Copepods",710,-120.2996665878994,3.597709368093409e-6,429.0,687.0,0.6244541484716157
"2013-10","Cherry","Nauplius",120,-179.24461923439196,5.916508395732378e-8,19.0,184.0,0.10326086956521739
"2013-10","Cherry","Nauplius",710,-148.42000688521594,5.916508395732378e-8,19.0,184.0,0.10326086956521739
"2014-04","Cherry","Nauplius",120,-150.633283782469,3.8567829111679953e-7,51.0,134.0,0.3805970149253731
"2014-04","Cherry","Nauplius",710,-120.2803055199516,3.8567829111679953e-7,51.0,134.0,0.3805970149253731
"2014-06","Cherry","Nauplius",120,-164.58618581411037,1.0380424581267063e-7,57.0,452.0,0.1261061946902655
"2014-06","Cherry","Nauplius",710,-134.0003421772684,1.0380424581267063e-7,57.0,452.0,0.1261061946902655
"2014-04","Eleanor","Nauplius",120,-157.59481404505965,1.6693797763527853e-7,40.0,91.0,0.43956043956043955
"2014-04","Eleanor","Nauplius",710,-127.22176920865438,1.6693797763527853e-7,40.0,91.0,0.43956043956043955
"2014-09","Eleanor","Nauplius",120,-148.9456571816491,3.89738648501305e-7,298.0,807.0,0.36926889714993805
"2014-09","Eleanor","Nauplius",710,-118.78538789947557,3.89738648501305e-7,298.0,807.0,0.36926889714993805
"2013-10","Tahoe","Nauplius",120,-161.19083251493396,1.930825695233643e-7,40.0,319.0,0.12539184952978055
"2013-10","Tahoe","Nauplius",710,-130.54223291231554,1.930825695233643e-7,40.0,319.0,0.12539184952978055
"2014-09","Tahoe","Nauplius",120,-159.62690148945003,1.7262957116131198e-7,253.0,687.0,0.3682678311499272
"2014-09","Tahoe","Nauplius",710,-129.13084663286995,1.7262957116131198e-7,253.0,687.0,0.3682678311499272
